-,A,aa,kokborok,,,aa,secondary,a-u,,"{""importance"": ""secondary"", ""homonym"": 1, ""bangla"": ""\u0986""}"
^,,supporting voice on some talking saying yes,english,,,supporting voice on some talking saying yes,,,,{}
^,,yes,english,,,yes,,,,{}
-,A,aa,kokborok,,,aa,secondary,hah-h,,"{""importance"": ""secondary"", ""bangla"": ""\u0986""}"
^,,to make hah-h,english,,,to make hah-h,,,verb,{}
-,A,aa,kokborok,,,aa,primary,aa-h,,"{""importance"": ""primary"", ""bangla"": ""\u0986""}"
^,,fish,english,,,fish,,,adjective|verb,{}
^,,rotten fish,english,,,rotten fish,,,adjective|verb,{}
^,,aa kur,english,,,aa kur,,,adjective|verb,{}
^,,skin of fish,english,,,skin of fish,,,adjective|verb,{}
^,,a-kho-k cha0,english,,,a-kho-k cha0,,,adjective|verb,{}
^,,to catch fish by using net,english,,,to catch fish by using net,,,adjective|verb,{}
-,A,akhor,kokborok,,,akhor,,a-kho0r,,"{""bangla"": ""\u0986\u0996\u09b0\u0986\u09ac\u0996\u09b0""}"
-,M,majher got. te gote. onek majh gadagadi kore thakete sob jayogay dhotokale jol mkiye tabar pwbonota ajhe f sob jayogay tekhane kean got. itadi ajhe fosob jayogay majh Wasa hoye thake,kokborok,,,majher got. te gote. onek majh gadagadi kore thakete sob jayogay dhotokale jol mkiye tabar pwbonota ajhe f sob jayogay tekhane kean got. itadi ajhe fosob jayogay majh Wasa hoye thake,,burrow-like,,"{""bangla"": ""\u09ae\u09be\u099d\u09c7\u09b0 \u0997\u09a4\u0964 \u09a4\u09c7 \u0997\u09a4\u09c7\u0964 \u0993\u09a8\u09c7\u0995 \u09ae\u09be\u099d \u0997\u09be\u09a6\u09be\u0997\u09be\u09a6\u09bf \u0995\u09b0\u09c7 \u09a5\u09be\u0995\u09c7\u09a4\u09c7 \u09b8\u09ac \u099c\u09be\u09df\u0997\u09be\u09df \u09a7\u09cb\u09a4\u0995\u09be\u09b2\u09c7 \u099c\u09b2 \u09cd\u09ae\u0995\u09bf\u09df\u09c7 \u09a4\u09be\u09ac\u09be\u09b0 \u09aa\u09cd\u09ac\u09ac\u09a8\u09a4\u09be \u0986\u099d\u09c7 \u09ab \u09b8\u09ac \u099c\u09be\u09df\u0997\u09be\u09df \u09a4\u09c7\u0996\u09be\u09a8\u09c7 \u0995\u09c7\u09be\u09a8 \u0997\u09a4\u0964 \u0987\u09a4\u09cd\u09be\u09a6\u09bf \u0986\u099d\u09c7 \u09ab\u09b8\u09ac \u099c\u09be\u09df\u0997\u09be\u09df \u09ae\u09be\u099d W\u09be\u09b8\u09be \u09b9\u09df\u09c7 \u09a5\u09be\u0995\u09c7""}"
^,,a hole or ditch of fishes,english,,,a hole or ditch of fishes,,,noun|verb,{}
^,,a burrow-like hole of fishes,english,,,a burrow-like hole of fishes,,,noun|verb,{}
^,,a bamboo made busket for keeping fish,english,,,a bamboo made busket for keeping fish,,,noun|verb,{}
^,,fish-basket,english,,,fish-basket,,,noun|verb,{}
^,,aa kha,english,,,aa kha,,,noun|verb,{}
^,,"to available of fishes in plenty in the pond,river etc",english,,,"to available of fishes in plenty in the pond,river etc",,,noun|verb,{}
